"","Countyname","ST_Name","FIPS","never_mask_survey","rarely_mask_survey","sometimes_mask_survey","frequently_mask_survey","always_mask_survey","Unemployment_rate_2019","Median_Household_Income_2019","Civilian_labor_force_2019","Med_HH_Income_Percent_of_State_Total_2019","PCTPOVALL_2019","percent_adults_less_than_hs","percent_adults_bach_or_higher","POP_ESTIMATE_2019","R_NET_MIG_2019","R_death_2019","R_birth_2019","rural_urban_code","Confirmed_as_pct","Deaths_as_pct","NewCases_02_09_21_as_pct","Civilian_labor_force_2019_as_pct"
"01001","Autauga","Alabama","01001",0.053,0.074,0.134,0.295,0.444,2.7,58233,26172,112.5,12.1,11.3,27.7,55869,4.6,9.7,11.2,2,0.105783171347259,0.0013782240598543,0.000519071399165906,0.468452988240348
"01003","Baldwin","Alabama","01003",0.083,0.059,0.098,0.323,0.436,2.7,59871,97328,115.6,10.1,9.7,31.3,223234,24.4,10.5,10.4,3,0.084324072497917,0.00102134979438616,0.000273255866041911,0.435990933280773
"01005","Barbour","Alabama","01005",0.067,0.121,0.12,0.201,0.491,3.8,35972,8537,69.5,27.1,27,12.2,24686,-5.2,12.6,10.3,6,0.0817872478327797,0.00182289556833833,0.000445596694482703,0.345823543708985
"01007","Bibb","Alabama","01007",0.02,0.034,0.096,0.278,0.572,3.1,47918,8685,92.6,20.3,16.8,11.5,22394,1.8,11.3,10.7,1,0.105474680718049,0.00236670536750915,0.000714477092078235,0.387827096543717
"01009","Blount","Alabama","01009",0.053,0.114,0.18,0.194,0.459,2.7,52902,25331,102.2,16.3,19.8,12.6,57826,1.1,11.4,11.3,1,0.102531733130426,0.00195413827689966,0.000155639331788469,0.438055545948189
"01011","Bullock","Alabama","01011",0.031,0.04,0.144,0.286,0.5,3.6,31906,4818,61.6,30,24.8,13.3,10101,-7.2,10.8,10.8,6,0.112068112068112,0.00287100287100287,0,0.476982476982477
"01013","Butler","Alabama","01013",0.102,0.053,0.257,0.137,0.451,3.6,39944,9263,77.2,21.6,15.4,16.1,19448,-6.3,13.9,10.9,6,0.0962566844919786,0.00318798848210613,0.000205676676264912,0.476295763060469
"01015","Calhoun","Alabama","01015",0.152,0.108,0.13,0.167,0.442,3.5,47747,46209,92.2,17.2,15.9,18,113605,-4,13.4,11.1,3,0.109827912503851,0.00217420007922187,0.000448923902997227,0.406751463403899
"01017","Chambers","Alabama","01017",0.117,0.037,0.15,0.136,0.56,2.9,42015,15748,81.2,19.6,18.6,13.2,33254,-7.7,13.2,10.6,6,0.0987249654176941,0.00252601190834185,0.000511216695735851,0.473567089673423
"01019","Cherokee","Alabama","01019",0.135,0.027,0.161,0.158,0.52,2.9,45982,11604,88.8,15.9,19.8,12.9,26196,11.6,13.1,8.5,6,0.0662314857230111,0.00141242937853107,0.000152695067949305,0.442968392120934
"01021","Chilton","Alabama","01021",0.06,0.07,0.058,0.194,0.618,2.7,49692,19818,96,16,17.8,14.2,44428,4.9,11.4,12.4,1,0.0816827226073647,0.00186819123075538,0.000157558296569731,0.446070045916989
"01023","Choctaw","Alabama","01023",0.049,0.038,0.126,0.219,0.568,4.7,39808,4670,76.9,22.6,18.6,13,12589,-15.8,13.8,10.5,9,0.0428945905155294,0.00182699181825403,0,0.370958773532449
"01025","Clarke","Alabama","01025",0.049,0.088,0.164,0.268,0.43,5.8,43822,7557,84.6,18.4,18.8,12.6,23622,-10,13.6,11.2,7,0.141647616628567,0.00177800355600711,0.000423334180001693,0.31991363982728
"01027","Clay","Alabama","01027",0.148,0.158,0.195,0.169,0.329,3,40562,6101,78.3,16.6,24.5,10.2,13235,-1.1,14.1,10.8,9,0.103588968643748,0.0039289761994711,0.000680015111446921,0.460974688326407
"01029","Cleburne","Alabama","01029",0.151,0.125,0.138,0.217,0.368,3.2,51276,5806,99,13.3,22.6,13.7,14910,-6.5,12.6,12.5,8,0.0888665325285044,0.00207914151576123,0.000134138162307176,0.389403085177733
"01031","Coffee","Alabama","01031",0.101,0.152,0.094,0.186,0.466,2.9,57299,21402,110.7,15,13.8,23.4,52342,7.1,10.9,11.5,4,0.0974934087348592,0.001566619540713,0.000229261396201903,0.408887700126094
"01033","Colbert","Alabama","01033",0.082,0.096,0.152,0.159,0.51,3.7,46683,23646,90.2,14.6,15.6,18.7,55241,6,13,11.4,3,0.106696113394037,0.00200937709310114,0.000253434948679423,0.428051628319545
"01035","Conecuh","Alabama","01035",0.099,0.052,0.259,0.192,0.399,4,41539,4533,80.2,22.2,19.2,10.7,12067,-13.6,14.9,10.1,7,0.0861854644899312,0.0019060246954504,0.000662965111461009,0.375652606281594
"01037","Coosa","Alabama","01037",0.055,0.131,0.167,0.263,0.384,3,42024,4549,81.2,17.1,20.4,11.6,10663,5.2,11.5,8.4,8,0.0718371940354497,0.00206320922817218,0.00140673356466285,0.426615399043421
"01039","Covington","Alabama","01039",0.187,0.128,0.129,0.201,0.356,3.4,44836,15653,86.6,17.2,17.1,14.9,37049,6.2,14.7,11.2,6,0.101865097573484,0.00248319792706956,0.000593808199951416,0.422494534265432
"01041","Crenshaw","Alabama","01041",0.06,0.091,0.199,0.233,0.416,2.8,43309,6476,83.7,16.8,21.6,15.6,13772,-0.8,13,9.9,8,0.0993319779262271,0.0035579436537903,0.000943944234679059,0.470229451060122
"01043","Cullman","Alabama","01043",0.13,0.024,0.249,0.217,0.379,2.6,50897,38646,98.3,12.2,18.2,13.7,83768,5,12.6,11.8,4,0.104526788272371,0.00198166364244103,0.000191003724572629,0.461345621239614
"01045","Dale","Alabama","01045",0.089,0.113,0.118,0.22,0.46,3.1,45120,20724,87.2,18.1,14.2,17,49172,-1.4,11.1,13.2,4,0.0899902383470268,0.00207435125681282,0.000162694216220613,0.421459367119499
"01047","Dallas","Alabama","01047",0.095,0.1,0.159,0.122,0.524,5.5,34034,14711,65.7,26,19.3,15.1,37196,-26.4,14.4,11.6,4,0.0878051403376707,0.00330680718356813,2.68846112485213e-05,0.395499516076998
"01049","DeKalb","Alabama","01049",0.084,0.051,0.106,0.179,0.58,2.8,44277,31052,85.5,18.2,25.9,12.7,71513,1.9,11.5,11.1,6,0.115881028624166,0.00209752073049655,0.000153818186903081,0.43421475815586
"01051","Elmore","Alabama","01051",0.042,0.095,0.127,0.252,0.485,2.6,62310,37565,120.4,11.4,13.6,24.5,81209,1.1,10.1,11.5,2,0.110344912509697,0.00190865544459358,0.000418672807201172,0.462571882426825
"01053","Escambia","Alabama","01053",0.114,0.026,0.188,0.285,0.387,3.5,42712,14762,82.5,20.5,18.5,12.7,36633,4.5,13,11.5,6,0.100073704037343,0.00150137853847624,0.000737040373433789,0.402969999727022
"01055","Etowah","Alabama","01055",0.096,0.103,0.178,0.122,0.501,3.3,43047,42723,83.1,18.8,15.5,17.7,102268,-0.2,14.5,11.5,3,0.125523135291587,0.00266945672155513,0.000176008135487151,0.417755309578754
"01057","Fayette","Alabama","01057",0.138,0.048,0.151,0.233,0.429,3.1,44212,6579,85.4,17,17.6,12.9,16302,-5.6,13.7,10.6,6,0.117960986382039,0.00288308183045025,0.000122684333210649,0.40357011409643
"01059","Franklin","Alabama","01059",0.065,0.071,0.223,0.156,0.484,2.8,44874,14696,86.7,16.1,23.2,12.9,31362,0,11.7,13.8,6,0.125087685734328,0.00220011478859767,0.000286971494164913,0.468592564249729
"01061","Geneva","Alabama","01061",0.176,0.131,0.089,0.158,0.445,2.9,43089,11045,83.2,16.1,20.9,11.1,26271,2.1,13.9,10.6,3,0.0885386928552396,0.00224582238970728,0.000190323931331126,0.420425564310456
"01063","Greene","Alabama","01063",0.03,0.053,0.127,0.167,0.623,5.6,28699,2883,55.4,31.7,24.1,10.1,8111,-12.4,11.4,11.8,8,0.102083590186167,0.00357539144371841,0.000123289360128221,0.355443225249661
"01065","Hale","Alabama","01065",0.026,0.061,0.084,0.191,0.639,3.9,40745,6119,78.7,20.5,16.4,14.1,14651,-7.2,12.3,12.9,3,0.13637294382636,0.00382226469182991,-0.000273018906559279,0.417650672309057
"01067","Henry","Alabama","01067",0.066,0.068,0.17,0.258,0.438,3.6,48597,6944,93.9,17.2,19.8,18,17205,4.5,12.4,9.7,3,0.102295844231328,0.0020924149956408,0.0003487358326068,0.403603603603604
"01069","Houston","Alabama","01069",0.085,0.079,0.135,0.268,0.433,3,50138,46234,96.8,19.4,14.3,21,105882,9,10.8,12.4,3,0.092111973706579,0.00219111841483916,0.000122778187038401,0.436655899964111
"01071","Jackson","Alabama","01071",0.092,0.089,0.11,0.249,0.46,3.3,44322,23484,85.6,14.7,17.5,14.2,51626,2.3,13.1,10.9,6,0.12340681052183,0.00151086661759579,1.93700848409716e-05,0.454887072405377
"01073","Jefferson","Alabama","01073",0.049,0.037,0.107,0.179,0.628,2.9,54127,318755,104.6,16.2,10.3,32.4,658573,-2.9,11.1,12.8,1,0.10438782033275,0.00187374824051396,0.000258133874300951,0.484008606487056
"01075","Lamar","Alabama","01075",0.107,0.045,0.132,0.189,0.527,3.1,42686,5849,82.5,15.3,17.6,12.5,13805,-4.7,12.4,11.5,8,0.0923578413618254,0.0022455632017385,0.000217312567910177,0.423687069902209
"01077","Lauderdale","Alabama","01077",0.093,0.119,0.141,0.179,0.469,3.3,48188,42548,93.1,15.7,12.6,23.9,92729,4.2,12.3,9.5,3,0.0905757637847922,0.00196270853778214,0.000204898144054179,0.458842433327222
"01079","Lawrence","Alabama","01079",0.162,0.08,0.088,0.251,0.419,3.1,47797,14306,92.3,17.7,21,11.7,32924,2,13,10.6,3,0.0830397278580974,0.00239946543554854,0.000151864900984085,0.434515854695663
"01081","Lee","Alabama","01081",0.053,0.064,0.138,0.183,0.562,2.7,54160,76580,104.6,15.5,9.5,34.1,164542,1.2,6.9,11.1,3,0.0874609522188864,0.000802226787081718,0.000182324269791299,0.465413086020591
"01083","Limestone","Alabama","01083",0.102,0.034,0.133,0.336,0.395,2.6,64729,43854,125,12,15.7,25.5,98915,26.4,8.9,10.4,2,0.0910680887630794,0.00119294343628368,0.000505484506899864,0.443350351311732
